Year,SCL,Species
1982,75.9,Caretta caretta
1982,76.9,Caretta caretta
1982,78.2,Caretta caretta
1982,78.7,Caretta caretta
1982,79.1,Caretta caretta
1982,80.2,Caretta caretta
1982,80.4,Caretta caretta
1982,80.5,Caretta caretta
1982,80.5,Caretta caretta
1982,80.9,Caretta caretta
1982,81.2,Caretta caretta
1982,81.5,Caretta caretta
1982,81.5,Caretta caretta
1982,81.5,Caretta caretta
1982,81.7,Caretta caretta
1982,81.7,Caretta caretta
1982,81.8,Caretta caretta
1982,81.8,Caretta caretta
1982,82.1,Caretta caretta
1982,82.1,Caretta caretta
1982,82.2,Caretta caretta
1982,82.5,Caretta caretta
1982,82.7,Caretta caretta
1982,82.7,Caretta caretta
1982,82.7,Caretta caretta
1982,82.8,Caretta caretta
1982,83.1,Caretta caretta
1982,83.1,Caretta caretta
1982,83.2,Caretta caretta
1982,83.3,Caretta caretta
1982,83.8,Caretta caretta
1982,83.9,Caretta caretta
1982,83.9,Caretta caretta
1982,84.1,Caretta caretta
1982,84.3,Caretta caretta
1982,84.3,Caretta caretta
1982,84.3,Caretta caretta
1982,84.4,Caretta caretta
1982,84.6,Caretta caretta
1982,84.7,Caretta caretta
1982,84.7,Caretta caretta
1982,84.8,Caretta caretta
1982,84.8,Caretta caretta
1982,85,Caretta caretta
1982,85,Caretta caretta
1982,85.2,Caretta caretta
1982,85.3,Caretta caretta
1982,85.4,Caretta caretta
1982,85.6,Caretta caretta
1982,85.7,Caretta caretta
1982,85.7,Caretta caretta
1982,85.8,Caretta caretta
1982,85.9,Caretta caretta
1982,86,Caretta caretta
1982,86,Caretta caretta
1982,86,Caretta caretta
1982,86,Caretta caretta
1982,86,Caretta caretta
1982,86.2,Caretta caretta
1982,86.2,Caretta caretta
1982,86.2,Caretta caretta
1982,86.2,Caretta caretta
1982,86.4,Caretta caretta
1982,86.4,Caretta caretta
1982,86.6,Caretta caretta
1982,86.8,Caretta caretta
1982,86.8,Caretta caretta
1982,86.8,Caretta caretta
1982,87,Caretta caretta
1982,87.1,Caretta caretta
1982,87.2,Caretta caretta
1982,87.3,Caretta caretta
1982,87.3,Caretta caretta
1982,87.3,Caretta caretta
1982,87.3,Caretta caretta
1982,87.3,Caretta caretta
1982,87.4,Caretta caretta
1982,87.4,Caretta caretta
1982,87.4,Caretta caretta
1982,87.5,Caretta caretta
1982,87.5,Caretta caretta
1982,87.7,Caretta caretta
1982,87.8,Caretta caretta
1982,87.8,Caretta caretta
1982,87.9,Caretta caretta
1982,87.9,Caretta caretta
1982,87.9,Caretta caretta
1982,87.9,Caretta caretta
1982,87.9,Caretta caretta
1982,88,Caretta caretta
1982,88.1,Caretta caretta
1982,88.2,Caretta caretta
1982,88.2,Caretta caretta
1982,88.3,Caretta caretta
1982,88.4,Caretta caretta
1982,88.4,Caretta caretta
1982,88.4,Caretta caretta
1982,88.5,Caretta caretta
1982,88.6,Caretta caretta
1982,88.6,Caretta caretta
1982,88.7,Caretta caretta
1982,88.7,Caretta caretta
1982,88.7,Caretta caretta
1982,88.7,Caretta caretta
1982,88.8,Caretta caretta
1982,88.8,Caretta caretta
1982,88.8,Caretta caretta
1982,88.9,Caretta caretta
1982,88.9,Caretta caretta
1982,88.9,Caretta caretta
1982,88.9,Caretta caretta
1982,89,Caretta caretta
1982,89,Caretta caretta
1982,89.1,Caretta caretta
1982,89.2,Caretta caretta
1982,89.2,Caretta caretta
1982,89.2,Caretta caretta
1982,89.2,Caretta caretta
1982,89.2,Caretta caretta
1982,89.4,Caretta caretta
1982,89.4,Caretta caretta
1982,89.4,Caretta caretta
1982,89.5,Caretta caretta
1982,89.6,Caretta caretta
1982,89.6,Caretta caretta
1982,89.6,Caretta caretta
1982,89.6,Caretta caretta
1982,89.7,Caretta caretta
1982,89.7,Caretta caretta
1982,89.7,Caretta caretta
1982,89.9,Caretta caretta
1982,90,Caretta caretta
1982,90,Caretta caretta
1982,90,Caretta caretta
1982,90,Caretta caretta
1982,90.1,Caretta caretta
1982,90.2,Caretta caretta
1982,90.2,Caretta caretta
1982,90.2,Caretta caretta
1982,90.3,Caretta caretta
1982,90.4,Caretta caretta
1982,90.4,Caretta caretta
1982,90.4,Caretta caretta
1982,90.4,Caretta caretta
1982,90.5,Caretta caretta
1982,90.5,Caretta caretta
1982,90.6,Caretta caretta
1982,90.7,Caretta caretta
1982,90.7,Caretta caretta
1982,90.8,Caretta caretta
1982,90.8,Caretta caretta
1982,90.8,Caretta caretta
1982,90.9,Caretta caretta
1982,90.9,Caretta caretta
1982,91,Caretta caretta
1982,91.2,Caretta caretta
1982,91.2,Caretta caretta
1982,91.2,Caretta caretta
1982,91.2,Caretta caretta
1982,91.3,Caretta caretta
1982,91.4,Caretta caretta
1982,91.4,Caretta caretta
1982,91.6,Caretta caretta
1982,91.7,Caretta caretta
1982,91.9,Caretta caretta
1982,92,Caretta caretta
1982,92,Caretta caretta
1982,92.1,Caretta caretta
1982,92.2,Caretta caretta
1982,92.2,Caretta caretta
1982,92.2,Caretta caretta
1982,92.2,Caretta caretta
1982,92.3,Caretta caretta
1982,92.3,Caretta caretta
1982,92.4,Caretta caretta
1982,92.4,Caretta caretta
1982,92.5,Caretta caretta
1982,92.5,Caretta caretta
1982,92.5,Caretta caretta
1982,92.6,Caretta caretta
1982,92.7,Caretta caretta
1982,92.8,Caretta caretta
1982,92.8,Caretta caretta
1982,92.8,Caretta caretta
1982,92.8,Caretta caretta
1982,92.8,Caretta caretta
1982,92.9,Caretta caretta
1982,92.9,Caretta caretta
1982,92.9,Caretta caretta
1982,92.9,Caretta caretta
1982,93,Caretta caretta
1982,93,Caretta caretta
1982,93,Caretta caretta
1982,93.1,Caretta caretta
1982,93.1,Caretta caretta
1982,93.2,Caretta caretta
1982,93.2,Caretta caretta
1982,93.2,Caretta caretta
1982,93.2,Caretta caretta
1982,93.3,Caretta caretta
1982,93.3,Caretta caretta
1982,93.3,Caretta caretta
1982,93.4,Caretta caretta
1982,93.4,Caretta caretta
1982,93.4,Caretta caretta
1982,93.4,Caretta caretta
1982,93.6,Caretta caretta
1982,93.7,Caretta caretta
1982,93.8,Caretta caretta
1982,93.9,Caretta caretta
1982,93.9,Caretta caretta
1982,94,Caretta caretta
1982,94.1,Caretta caretta
1982,94.2,Caretta caretta
1982,94.2,Caretta caretta
1982,94.2,Caretta caretta
1982,94.2,Caretta caretta
1982,94.2,Caretta caretta
1982,94.4,Caretta caretta
1982,94.5,Caretta caretta
1982,94.6,Caretta caretta
1982,94.6,Caretta caretta
1982,94.6,Caretta caretta
1982,94.8,Caretta caretta
1982,94.9,Caretta caretta
1982,94.9,Caretta caretta
1982,95,Caretta caretta
1982,95,Caretta caretta
1982,95.2,Caretta caretta
1982,95.2,Caretta caretta
1982,95.5,Caretta caretta
1982,95.5,Caretta caretta
1982,95.6,Caretta caretta
1982,95.6,Caretta caretta
1982,95.6,Caretta caretta
1982,95.7,Caretta caretta
1982,95.8,Caretta caretta
1982,95.8,Caretta caretta
1982,95.9,Caretta caretta
1982,96.1,Caretta caretta
1982,96.1,Caretta caretta
1982,96.2,Caretta caretta
1982,96.2,Caretta caretta
1982,96.3,Caretta caretta
1982,96.3,Caretta caretta
1982,96.4,Caretta caretta
1982,96.5,Caretta caretta
1982,96.5,Caretta caretta
1982,96.7,Caretta caretta
1982,96.7,Caretta caretta
1982,96.8,Caretta caretta
1982,97,Caretta caretta
1982,97,Caretta caretta
1982,97,Caretta caretta
1982,97,Caretta caretta
1982,97.2,Caretta caretta
1982,97.3,Caretta caretta
1982,97.3,Caretta caretta
1982,97.5,Caretta caretta
1982,97.5,Caretta caretta
1982,97.6,Caretta caretta
1982,97.8,Caretta caretta
1982,97.9,Caretta caretta
1982,97.9,Caretta caretta
1982,98.1,Caretta caretta
1982,98.2,Caretta caretta
1982,98.3,Caretta caretta
1982,98.7,Caretta caretta
1982,98.8,Caretta caretta
1982,99,Caretta caretta
1982,99.1,Caretta caretta
1982,99.1,Caretta caretta
1982,99.2,Caretta caretta
1982,99.2,Caretta caretta
1982,99.7,Caretta caretta
1982,100.2,Caretta caretta
1982,100.3,Caretta caretta
1982,100.4,Caretta caretta
1982,100.8,Caretta caretta
1982,101.2,Caretta caretta
1982,101.2,Caretta caretta
1982,101.4,Caretta caretta
1982,101.5,Caretta caretta
1982,101.8,Caretta caretta
1982,102,Caretta caretta
1982,103.8,Caretta caretta
1982,105.2,Caretta caretta
1982,108.6,Caretta caretta
1983,80.4,Caretta caretta
1983,81,Caretta caretta
1983,81.7,Caretta caretta
1983,81.8,Caretta caretta
1983,81.9,Caretta caretta
1983,82.9,Caretta caretta
1983,83.5,Caretta caretta
1983,83.7,Caretta caretta
1983,84.3,Caretta caretta
1983,84.5,Caretta caretta
1983,84.6,Caretta caretta
1983,84.7,Caretta caretta
1983,84.7,Caretta caretta
1983,84.7,Caretta caretta
1983,84.8,Caretta caretta
1983,85.4,Caretta caretta
1983,85.9,Caretta caretta
1983,86,Caretta caretta
1983,86.1,Caretta caretta
1983,86.1,Caretta caretta
1983,86.2,Caretta caretta
1983,86.2,Caretta caretta
1983,86.2,Caretta caretta
1983,86.7,Caretta caretta
1983,86.8,Caretta caretta
1983,86.9,Caretta caretta
1983,87.2,Caretta caretta
1983,87.5,Caretta caretta
1983,88.2,Caretta caretta
1983,88.2,Caretta caretta
1983,88.4,Caretta caretta
1983,88.4,Caretta caretta
1983,88.7,Caretta caretta
1983,88.8,Caretta caretta
1983,88.9,Caretta caretta
1983,89,Caretta caretta
1983,89.1,Caretta caretta
1983,89.1,Caretta caretta
1983,89.2,Caretta caretta
1983,89.4,Caretta caretta
1983,89.5,Caretta caretta
1983,89.6,Caretta caretta
1983,89.8,Caretta caretta
1983,90,Caretta caretta
1983,90.1,Caretta caretta
1983,90.2,Caretta caretta
1983,90.8,Caretta caretta
1983,90.9,Caretta caretta
1983,90.9,Caretta caretta
1983,91,Caretta caretta
1983,91,Caretta caretta
1983,91,Caretta caretta
1983,91.2,Caretta caretta
1983,91.4,Caretta caretta
1983,91.5,Caretta caretta
1983,91.8,Caretta caretta
1983,91.9,Caretta caretta
1983,92,Caretta caretta
1983,92,Caretta caretta
1983,92,Caretta caretta
1983,92,Caretta caretta
1983,92.5,Caretta caretta
1983,92.9,Caretta caretta
1983,93.1,Caretta caretta
1983,93.3,Caretta caretta
1983,93.3,Caretta caretta
1983,93.3,Caretta caretta
1983,93.5,Caretta caretta
1983,93.7,Caretta caretta
1983,93.8,Caretta caretta
1983,94,Caretta caretta
1983,94,Caretta caretta
1983,94.2,Caretta caretta
1983,94.5,Caretta caretta
1983,94.8,Caretta caretta
1983,94.8,Caretta caretta
1983,94.8,Caretta caretta
1983,94.9,Caretta caretta
1983,95.1,Caretta caretta
1983,95.2,Caretta caretta
1983,95.5,Caretta caretta
1983,95.6,Caretta caretta
1983,95.8,Caretta caretta
1983,96.3,Caretta caretta
1983,96.5,Caretta caretta
1983,96.5,Caretta caretta
1983,96.5,Caretta caretta
1983,96.5,Caretta caretta
1983,96.6,Caretta caretta
1983,97,Caretta caretta
1983,97.5,Caretta caretta
1983,97.5,Caretta caretta
1983,97.5,Caretta caretta
1983,99,Caretta caretta
1983,99.2,Caretta caretta
1983,99.5,Caretta caretta
1983,100.2,Caretta caretta
1983,101.1,Caretta caretta
1983,101.3,Caretta caretta
1983,101.3,Caretta caretta
1983,106.3,Caretta caretta
1984,73.5,Caretta caretta
1984,77.7,Caretta caretta
1984,78.5,Caretta caretta
1984,80,Caretta caretta
1984,80.5,Caretta caretta
1984,80.8,Caretta caretta
1984,81.7,Caretta caretta
1984,81.7,Caretta caretta
1984,83.2,Caretta caretta
1984,83.6,Caretta caretta
1984,83.7,Caretta caretta
1984,83.8,Caretta caretta
1984,83.8,Caretta caretta
1984,84,Caretta caretta
1984,84.3,Caretta caretta
1984,85.1,Caretta caretta
1984,85.3,Caretta caretta
1984,85.3,Caretta caretta
1984,86,Caretta caretta
1984,86.3,Caretta caretta
1984,86.5,Caretta caretta
1984,86.5,Caretta caretta
1984,86.5,Caretta caretta
1984,86.6,Caretta caretta
1984,86.6,Caretta caretta
1984,86.6,Caretta caretta
1984,86.7,Caretta caretta
1984,86.8,Caretta caretta
1984,87.2,Caretta caretta
1984,87.5,Caretta caretta
1984,87.9,Caretta caretta
1984,88,Caretta caretta
1984,88,Caretta caretta
1984,88.5,Caretta caretta
