,survived,pclass,age,sibsp,parch,fare,deck,embark_town,alone,female,male,child
1,1,1,38.0,1,0,71.2833,2,0,0,1,0,0
3,1,1,35.0,1,0,53.1,2,2,0,1,0,0
6,0,1,54.0,0,0,51.8625,4,2,1,0,1,0
10,1,3,4.0,1,1,16.7,6,2,0,1,0,1
11,1,1,58.0,0,0,26.55,2,2,1,1,0,0
21,1,2,34.0,0,0,13.0,3,2,1,0,1,0
23,1,1,28.0,0,0,35.5,0,2,1,0,1,0
27,0,1,19.0,3,2,263.0,2,2,0,0,1,0
52,1,1,49.0,1,0,76.7292,3,0,0,1,0,0
54,0,1,65.0,0,1,61.9792,1,0,0,0,1,0
62,0,1,45.0,1,0,83.475,2,2,0,0,1,0
66,1,2,29.0,0,0,10.5,5,2,1,1,0,0
75,0,3,25.0,0,0,7.65,5,2,1,0,1,0
88,1,1,23.0,3,2,263.0,2,2,0,1,0,0
92,0,1,46.0,1,0,61.175,4,2,0,0,1,0
96,0,1,71.0,0,0,34.6542,0,0,1,0,1,0
97,1,1,23.0,0,1,63.3583,3,0,0,0,1,0
102,0,1,21.0,0,1,77.2875,3,2,0,0,1,0
110,0,1,47.0,0,0,52.0,2,2,1,0,1,0
118,0,1,24.0,0,1,247.5208,1,0,0,0,1,0
123,1,2,32.5,0,0,13.0,4,2,1,1,0,0
124,0,1,54.0,0,1,77.2875,3,2,0,0,1,0
136,1,1,19.0,0,2,26.2833,3,2,0,1,0,0
137,0,1,37.0,1,0,53.1,2,2,0,0,1,0
139,0,1,24.0,0,0,79.2,1,0,1,0,1,0
148,0,2,36.5,0,2,26.0,5,2,0,0,1,0
151,1,1,22.0,1,0,66.6,2,2,0,1,0,0
170,0,1,61.0,0,0,33.5,1,2,1,0,1,0
174,0,1,56.0,0,0,30.6958,0,0,1,0,1,0
177,0,1,50.0,0,0,28.7125,2,0,1,1,0,0
183,1,2,1.0,2,1,39.0,5,2,0,0,1,1
193,1,2,3.0,1,1,26.0,5,2,0,0,1,1
194,1,1,44.0,0,0,27.7208,1,0,1,1,0,0
195,1,1,58.0,0,0,146.5208,1,0,1,1,0,0
205,0,3,2.0,0,1,10.4625,6,2,0,1,0,1
209,1,1,40.0,0,0,31.0,0,0,1,0,1,0
